Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment,redlistCategory,systems,realm,Economically_relevant,Charismatic_species,Weight,Dietary_class
P_0011,Carassius auratus,Goldfish,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Indomalayan|Palearctic,Yes,No,NA,Herbivore
P_0011,Clarias lazera,African sharptooth catfish,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,60000,Carnivore/Piscivore
P_0011,Cyprinus carpio,Common carp,Actinopterygii,species,,Vulnerable,Freshwater (=Inland waters),Palearctic,Yes,No,40090,Carnivore/Piscivore
P_0011,Hemiculter leucisculus,Sharpbelly,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Indomalayan|Palearctic,Yes,No,NA,NA
P_0011,Moina macrocopa,Zooplancton_3,Branchiopoda,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0011,Moina micrura,Zooplancton_2,Branchiopoda,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0011,Moina rectirostris,Zooplankton_1,Branchiopoda,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0011,Oreochromis niloticus,Nile tilapia,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters),Afrotropical|Palearctic,Yes,No,4324,Herbivore
P_0012,Balaenoptera acutorostrata,Minke whale,Mammalia,species,,Least Concern,Marine,Afrotropical|Antarctic|Australasian|Indomalayan|Nearctic|Neotropical|Oceanian|Palearctic,Yes,Yes,1.00E+07,Carnivore/Piscivore
P_0012,Delphinus capensis,Long-beaked common dolphin,Mammalia,species,,No IUCN assessment,NA,NA,No,Yes,80000,Carnivore/Piscivore
P_0013,Coptodon rendalli,Redbreast tilapia,Actinopterygii,species,used name: Condodon rendalli,Least Concern,Freshwater (=Inland waters),Afrotropical,Yes,No,2500,Omnivore
P_0013,Geophagus brasiliensis,Pearl cichlid,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0013,Lepidopus caudatus,Silver scabbardfish,Actinopterygii,species,,Data Deficient,Marine,,Yes,No,8000,Carnivore/Piscivore
P_0013,Micropogonias furnieri,Whitemouth croaker,Actinopterygii,species,,Least Concern,Marine,,Yes,No,55.29999924,Carnivore/Piscivore
P_0013,Mugil liza,Lebranche mullet,Actinopterygii,species,,Data Deficient,Freshwater (=Inland waters)|Marine,Neotropical,Yes,No,9000,NA
P_0013,Perna perna,Brown mussel,Bivalvia,species,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0013,Sotalia guianensis,Tucuxi dolphin,Mammalia,species,,Near Threatened,Freshwater (=Inland waters)|Marine,Neotropical,Yes,Yes,60000,Carnivore/Piscivore
P_0014,Acanthogobius flavimanus,Yellowfin goby,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Indomalayan|Palearctic,Yes,No,NA,Carnivore/Piscivore
P_0014,Cymatogaster aggregata,Shiner surfperch,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Nearctic,No,No,NA,NA
P_0014,Engraulis mordax,Northern anchovy,Actinopterygii,species,,Data Deficient,Marine,,Yes,No,68,NA
P_0014,Leptocottus armatus,Staghorn sculpin,Actinopterygii,species,,Least Concern,Freshwater (=Inland waters)|Marine,Nearctic|Neotropical,No,No,NA,NA
P_0014,Phalacrocorax auritus,Double-crested cormorant,Aves,species,,No IUCN assessment,NA,NA,No,No,1806.49,Carnivore/Piscivore
P_0014,Phoca vitulina,Harbour seal,Mammalia,species,,Least Concern,Terrestrial|Freshwater (=Inland waters)|Marine,Nearctic|Palearctic,Yes,No,1.00E+05,Carnivore/Piscivore
P_0014,Tridentiger,Tripletooth goby,Actinopterygii,genus,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0015,Ursus maritimus,Polar bear,Mammalia,species,,Vulnerable,Terrestrial|Marine,Nearctic|Palearctic,Yes,Yes,388750.36,Carnivore/Piscivore
P_0016,Parus caeruleus,Blue tit,Aves,species,,No IUCN assessment,NA,NA,No,No,13.3,Omnivore
P_0016,Parus major,Great tit,Aves,species,,Least Concern,Terrestrial,Indomalayan|Oceanian|Palearctic,No,No,16.25,Omnivore
P_0017,Cyprinus carpio,Common carp,Actinopterygii,species,,Vulnerable,Freshwater (=Inland waters),Palearctic,Yes,No,40090,Carnivore/Piscivore
P_0018,Anabas testudineus,Climbing perch,Actinopterygii,species,used name: Anabas testudines,Least Concern,Freshwater (=Inland waters),Australasian|Indomalayan,Yes,No,NA,Carnivore/Piscivore
P_0018,Caridea,True shrimp_infraorder,Malacostraca,infraorder,,No IUCN assessment,NA,NA,No,No,NA,NA
P_0018,Catla catla,Major south asian carp,Actinopterygii,species,,No IUCN assessment,NA,NA,No,No,38560,NA
P_0018,Channa punctata,Spotted snakehead,Actinopterygii,species,used name: Channa punctatus,Least Concern,Freshwater (=Inland waters),Indomalayan|Palearctic,Yes,No,NA,NA
P_0018,Chitala chitala,Knifefish ,Actinopterygii,species,,Near Threatened,Freshwater (=Inland waters),Indomalayan,Yes,No,NA,NA
