Study_ID,Author_year,Paper_title,Publication_year,Country_FirstAuthor,Checked,Comment
P_0506,Gebbink_2011,Twenty years of temporal change in perfluoroalkyl sulfonate and carboxylate contaminants in herring gull eggs from the Laurentian Great Lakes,2011,Canada,CV,
P_0148,Gebbink_2012,Comparative tissue and body compartment accumulation and maternal transfer to eggs of perfluoroalkyl sulfonates and carboxylates in Great Lakes herring gulls,2012,Canada,CV,
P_0004,Gebbink_2016,Observation of emerging per- and polyfluoroalkyl substances (PFASs) in Greenland marine mammals,2016,Sweden,CV,
P_0146,Gebbink_2016,Perfluoroalkyl Acids (PFAAs) and Selected Precursors in the Baltic Sea Environment: Do Precursors Play a Role in Food Web Accumulation of PFAAs?,2016,Sweden,CV,
P_0150,Gewurtz_2012,Perfluoroalkyl contaminants in Lake Ontario Lake Trout: Detailed examination of current status and long-term trends,2012,Canada,CV,
P_0497,Gewurtz_2013,Perfluoroalkyl acids in the Canadian environment: Multi-media assessment of current status and trends,2013,Canada,,Excluded
P_0490,Gewurtz_2014,"High levels of perfluoroalkyl acids in sport fish species downstream of a firefighting training facility at Hamilton International Airport, Ontario, Canada",2014,Canada,LR,
P_0055,Gewurtz_2016,Spatio-temporal trends and monitoring design of perfluoroalkyl acids in the eggs of gull (Larid) species from across Canada and parts of the United States,2016,Canada,CV,
P_0436,Gewurtz_2018,Perfluoroalkyl Acids in European Starling Eggs Indicate Landfill and Urban Influences in Canadian Terrestrial Environments,2018,Canada,LR,
P_0151,Giari_2015,Occurrence of perfluorooctanesulfonate and perfluorooctanoic acid and histopathology in eels from north Italian waters,2015,Italy,CV,
P_0661,Giesy_2001,Global distribution of perfluorooctane sulfonate in wildlife,2001,USA,CV,
P_0394,Gilby_2020,Diverse land uses and high coastal urbanisation do not always result in harmful environmental pollutants in fisheries species,2020,Australia,CV,
P_0138,Goeckener_2021,Exploring unknown per- and polyfluoroalkyl substances in the German environment â€“ The total oxidizable precursor assay as helpful tool in research and regulation,2021,Germany,CV,
P_0603,Gomez_Ramirez_2017,Per- and polyfluoroalkyl substances in plasma and feathers of nestling birds of prey from northern Norway,2017,Spain,LR,
P_0023,Goodrow_2020,"Investigation of levels of perfluoroalkyl substances in surface water, sediment and fish tissue in New Jersey, USA",2020,USA,CV,
P_0430,Gr�nnestad_2018,Effects of a complex contaminant mixture on thyroid hormones in breeding hooded seal mothers and their pups,2018,Norway,LR,
P_0408,Gr�nnestad_2019,"Levels, Patterns, and Biomagnification Potential of Perfluoroalkyl Substances in a Terrestrial Food Chain in a Nordic Skiing Area",2019,Norway,CV,
P_0156,Greaves_2012,Tissue-specific concentrations and patterns of perfluoroalkyl carboxylates and sulfonates in east greenland polar bears,2012,Canada,CV,
P_0154,Greaves_2013,Linear and branched perfluorooctane sulfonate (PFOS) isomer patterns differ among several tissues and blood of polar bears,2013,Canada,CV,
P_0155,Greaves_2013,BRAIN REGION DISTRIBUTION AND PATTERNS OF BIOACCUMULATIVE PERFLUOROALKYL CARBOXYLATES AND SULFONATES IN EAST GREENLAND POLAR BEARS (URSUS MARITIMUS),2013,Canada,CV,
P_0637,Griffin_2020,Evaluation of Different Extraction Methods for the Analysis of Per- and Polyfluoroalkyl Substances in Dried Blood Spots from the Florida Manatee (Trichechus manatus),2021,USA,LR,
P_0159,Groffen_2017,"Perfluoroalkylated acids in the eggs of great tits (Parus major) near a fluorochemical plant in Flanders, Belgium",2017,Belgium,CV,
P_0433,Groffen_2018,"Distribution of perfluorinated compounds (PFASs) in the aquatic environment of the industrially polluted Vaal River, South Africa",2018,Belgium,LR,
P_0158,Groffen_2019,Limited reproductive impairment in a passerine bird species exposed along a perfluoroalkyl acid (PFAA) pollution gradient,2019,Belgium,CV,
P_0157,Groffen_2019,Do concentrations of perfluoroalkylated acids (PFAAs) in isopods reflect concentrations in soil and songbirds? A study using a distance gradient from a fluorochemical plant,2019,Belgium,CV,
P_0029,Groffen_2020,"Are Feathers of a Songbird Model Species (The Great Tit, Parus major) Suitable for Monitoring Perfluoroalkyl Acids (PFAAs) in Blood Plasma?",2020,Belgium,CV,
P_0386,Groffen_2021,"Preliminary study on the distribution of metals and persistent organic pollutants (POPs), including perfluoroalkylated acids (PFAS), in the aquatic environment near Morogoro, Tanzania, and the potential health risks for humans",2021,Belgium,LR,
P_0153,Gronnestad_2017,Maternal transfer of perfluoroalkyl substances in hooded seals,2017,Norway,CV,
P_0025,Gronnestad_2021,Alteration of neuro-dopamine and steroid hormone homeostasis in wild Bank voles in relation to tissue concentrations of PFAS at a Nordic skiing area,2021,Norway,CV,
P_0160,Guerranti_2013,Perfluorinated compounds in blood of Caretta caretta from the Mediterranean Sea,2013,Italy,CV,
P_0485,Guerranti_2014,Pilot study on levels of chemical contaminants and porphyrins in Caretta caretta from the Mediterranean Sea,2014,Italy,LR,
P_0462,Guerranti_2016,"Phthalates and perfluorinated alkylated substances in Atlantic bluefin tuna (Thunnus thynnus) specimens from Mediterranean Sea (Sardinia, Italy): Levels and risks for human consumption",2016,Italy,CV,
P_0576,Guerranti_2017,"Biomonitoring of chemicals in biota of two wetland protected areas exposed to different levels of environmental impact: results of the "" PREVIENI"" project",2017,Italy,CV,
P_0161,Gui_2019,"Bioaccumulation behavior and spatiotemporal trends of per- and polyfluoroalkyl substances in Indo-Pacific humpback dolphins from the Pearl River Estuary, China",2019,China,CV,
P_0602,Guilette_2020,Elevated levels of per- and polyfluoroalkyl substances in Cape Fear River Striped Bass (Morone saxatilis) are associated with biomarkers of altered immune and liver function,2020,USA,LR,
P_0163,Guo_2012,"Determination of polyfluoroalkyl phosphoric acid diesters, perfluoroalkyl phosphonic acids, perfluoroalkyl phosphinic acids, perfluoroalkyl carboxylic acids, and perfluoroalkane sulfonic acids in lake trout from the Great Lakes region",2012,Canada,CV,
P_0630,Guo_2019,Distribution of perfluorinated alkyl substances in marine shellfish along the Chinese Bohai Sea coast,2019,China,CV,
P_0162,Guo_2020,"Distribution of perfluoroalkyl substances in aquatic products in coastal and adjacent areas of the Yellow Sea and Bohai Sea, China",2020,,CV,Excluded
P_0164,Guruge_2011,Fluorinated alkyl compounds including long chain carboxylic acids in wild bird livers from Japan,2011,Japan,CV,
P_0448,Habibullah_Al_Mamun_2017,Occurrence and assessment of perfluoroalkyl acids (PFAAs) in commonly consumed seafood from the coastal area of Bangladesh,2017,Japan,LR,
P_0165,Haljasorg_2014,Alternative Eluent Composition for LC-MS Analysis of Perfluoroalkyl Acids in Raw Fish Samples,2014,Estonia,CV,
P_0166,Han_2020,"Spatiotemporal variations, sources and health risk assessment of        perfluoroalkyl substances in a temperate bay adjacent to metropolis,        North China",2020,China,CV,
P_0022,Hansen_2020,A novel use of the leukocyte coping capacity assay to assess the immunomodulatory effects of organohalogenated contaminants in avian wildlife,2020,Norway,CV,
P_0167,Hansson_2014,Cytological and biochemical biomarkers in adult female perch (Perca fluviatilis) in a chronically polluted gradient in the Stockholm recipient (Sweden),2014,Sweden,CV,
P_0169,Hart_2008,Skipjack tuna as a bioindicator of contamination by perfluorinated compounds in the oceans,2008,USA,CV,
P_0168,Hart_2008,"Time trends and transplacental transfer of perfluorinated compounds in melon-headed whales stranded along the Japanese coast in 1982, 2001/2002, and 2006",2008,USA,CV,
P_0523,Hart_2009,Temporal trends (1992-2007) of perfluorinated chemicals in Northern Sea Otters (Enhydra lutris kenyoni) from south-central alaska,2009,USA,CV,
P_0170,Haukas_2007,Bioaccumulation of per- and polyfluorinated alkyl substances (PFAS) in selected species from the Barents Sea food web,2007,Norway,CV,
P_0557,Hauser-Davis_2021,Perfluoroalkyl substances associations with morphometric health indices in three fish species from differentially contaminated water bodies in Southeastern Brazil,2021,Brazil,CV,Excluded
P_0474,He_2015,Occurrence and assessment of perfluorinated compounds in fish from the Danjiangkou reservoir and Hanjiang river in China,2015,China,CV,
P_0005,Herzke_2009,Perfluorinated and other persistent halogenated organic compounds in European shag (Phalacrocorax aristotelis) and common eider (Somateria mollissima) from Norway: A suburban to remote pollutant gradient,2009,Norway,CV,
P_0415,Hitchcock_2019,Potential Effect of Migration Strategy on Pollutant Occurrence in Eggs of Arctic Breeding Barnacle Geese (Branta leucopsis),2019,Norway,CV,
P_0172,Hlouskova_2013,Occurrence of brominated flame retardants and perfluoroalkyl substances in fish from the Czech aquatic ecosystem,2013,Czech Republic,CV,
P_0651,Hoelzer_2011,"Perfluorinated compounds in fish and blood of anglers at Lake Moehne, Sauerland area, Germany",2011,Germany,LR,
P_0174,Hoff_2003,Perfluorooctane sulfonic acid in bib (Trisopterus luscus) and plaice (Pleuronectes platessa) from the Western Scheldt and the Belgian North Sea: Distribution and biochemical effects,2003,Belgium,CV,
P_0660,Hoff_2004,Biochemical effect evaluation of perfluorooctane sulfonic acid-contaminated wood mice (Apodemus sylvaticus),2004,Belgium,LR,
P_0173,Hoff_2005,Perfluorooctane sulfonic acid and organohalogen pollutants in liver of three freshwater fish species in Flanders (Belgium): Relationships with biochemical and organismal effects,2005,Belgium,CV,
P_0016,Hoff_2005,Evaluation of biochemical effects related to perfluorooctane sulfonic acid exposure in organohalogen-contaminated great tit (Parus major) and blue tit (Parus caeruleus) nestlings,2005,Belgium,CV,
P_0175,Holmstroem_2008,Tissue distribution of perfluorinated surfactants in common guillemot () from the Baltic Sea,2008,Sweden,CV,
P_0514,Holmstro?m_2010,"Temporal trends of perfluorinated surfactants in Swedish peregrine falcon eggs (Falco peregrinus), 1974-2007",2010,Sweden,CV,
P_0006,Holmstro?m_2005,"Temporal Trends of PFOS and PFOA in Guillemot Eggs from the Baltic Sea, 1968-2003",2005,Sweden,CV,
P_0176,Hong_2015,Bioaccumulation characteristics of perfluoroalkyl acids (PFAAs) in coastal organisms from the west coast of South Korea,2015,South Korea,CV,
P_0635,Hong_2022,Levels and profiles of perfluorinated alkyl acids in liver tissues of birds with different habitat types and trophic levels from an urbanized coastal region of South Korea,2022,South Korea,CV,
P_0180,Houde_2005,Polyfluoroalkyl compounds in free-ranging bottlenose dolphins (Tursiops truncatus) from the Gulf of Mexico and the Atlantic Ocean,2005,Canada,CV,
P_0177,Houde_2006,Biomagnification of perfluoroalkyl compounds in the bottlenose dolphin (Tursiops truncatus) food web,2006,Canada,CV,
P_0526,Houde_2008,Fractionation and bioaccumulation of perfluorooctane sulfonate (PFOS) isomers in a lake ontario food web,2008,Canada,CV,
P_0534,Houde_2009,"Perfluoroalkyl compounds in relation to life-history and reproductive parameters in bottlenose dolphins (Tursiops truncatus) from Sarasota Bay, Florida, USA",2006,Canada,LR,
P_0178,Houde_2013,Induction of gene responses in St. Lawrence River northern pike (Esox lucius) environmentally exposed to perfluorinated compounds,2013,Canada,CV,
P_0179,Houde_2014,A multi-level biological approach to evaluate impacts of a major municipal effluent in wild St. Lawrence River yellow perch (Perca flavescens),2014,Canada,CV,
P_0625,Hovden_2018,Thyroid hormone status and thyroid gland histology in PFAS- and mercury contaminated glaucous gulls (Larus hyperboreus) from Svalbard,2018,Norway,CV,
P_0181, Hr�dkov�_2012,Occurrence of halogenated contaminants in fish from selected river localities and ponds in the Czech Republic,2012,Czech Republic,CV,
P_0182,Hu_2011,ANALYSIS AND OCCURRENCES OF PERFLUORINATED COMPOUNDS IN AGRICULTURAL AND AQUATIC PRODUCTS AND WATER FROM CHINA,2011,China,CV,Excluded
P_0392,Hu_2020,Cooking methods affect the intake of per- and polyfluoroalkyl substances (PFASs) from grass carp,2020,China,CV,
P_0183,Huber_2012,"Temporal trends and spatial differences of perfluoroalkylated substances in livers of harbor porpoise (Phocoena phocoena) populations from Northern Europe, 1991-2008",2012,Norway,CV,
P_0184,Huber_2015,A broad cocktail of environmental pollutants found in eggs of three seabird species from remote colonies in Norway,2015,Norway,CV,
P_0426,Hung_2018,Perfluoroalkyl Substances (PFASs) in Ten Edible Freshwater Fish Species from Major Rivers and Lakes in Korea: Distribution and Human Exposure by Consumption,2018,South Korea,LR,
P_0021,Hung_2020,Perfluoroalkyl substances (PFASs) in special management sea areas of Korea: Distribution and bioconcentration in edible fish species,2020,South Korea,CV,
P_0185,Ikkere_2018,"Occurrence of polybrominated diphenyl ethers, perfluorinated compounds, and nonsteroidal anti-inflammatory drugs in freshwater mussels from Latvia",2018,Latvia,CV,
P_0186,Ishibashi_2008,"Contamination and effects of perfluorochemicals in baikal seal (Pusa sibirica). 1. Residue level, tissue distribution, and temporal trend",2008,Japan,CV,
P_0592,J�rv_2017,Persistent organic pollutants in selected fishes of the Gulf of Finland,2017,Estonia,LR,
P_0489,J�rundsd�ttir_2014,PFAAs in fish and other seafood products from icelandic waters,2014,Iceland,LR,
P_0499,Jaspers_2013,Perfluoroalkyl substances in soft tissues and tail feathers of Belgian barn owls (Tyto alba) using statistical methods for left-censored data to handle non-detects,2013,Belgium,LR,
P_0475,Jianxian_2015,"Temporal trends of polychlorinated biphenyls, polybrominated diphenyl ethers, and perfluorinated compounds in Chinese sturgeon (acipenser sinensis) eggs (1984-2008)",2015,China,CV,
P_0188,Jm_2015,"Interspecific and Spatial Comparisons of Perfluorinated Compounds in Bighead and Silver Carp in the Illinois River, Illinois, USA",2015,USA,CV,
P_0187,Jong_2017,Concentrations of 19 perfluorinated compounds in saltwater and        freshwater fishes analyzed by liquid chromatography-tandem mass        spectrometry,2017,Canada,CV,Excluded
P_0189,Jouanneau_2020,Spatiotemporal Analysis of Perfluoroalkyl Substances in White-Tailed Eagle (Haliaeetus albicilla) Nestlings from Northern Norway-A Ten-Year Study,2020,Norway,CV,
P_0662,Jouanneau_2021,A Bad Start in Life? Maternal Transfer of Legacy and Emerging Poly- And Perfluoroalkyl Substances to Eggs in an Arctic Seabird,2021,Norway,CV,
P_0190,Juntilla_2019,PFASs in Finnish rivers and fish and the loading of PFASs to the Baltic Sea,2019,Finland,CV,
P_0594,Kabore_2022,Novel and legacy per- and polyfluoroalkyl substances (PFAS) in freshwater sporting fish from background and firefighting foam impacted ecosystems in Eastern Canada,2022,Canada,LR,
P_0195,Kannan_2001,Perfluorooctane sulfonate in fish-eating water birds including bald eagles and albatrosses,2001,USA,CV,
P_0549,Kannan_2001,Accumulation of perfluorooctane sulfonate in marine mammals,2001,USA,LR,
P_0194,Kannan_2002,"Perfluorooctanesulfonate and related fluorinated hydrocarbons in marine mammals, fishes, and birds from coasts of the Baltic and the Mediterranean Seas",2002,USA,CV,
P_0193,Kannan_2002,Concentrations of perfluorinated acids in livers of birds from Japan and Korea,2002,USA,CV,
P_0191,Kannan_2002,Perfluorooctanesulfonate and related fluorinated hydrocarbons in mink and river otters from the United States,2002,USA,CV,
P_0196,Kannan_2002,"Perfluorooctane sulfonate in oysters, Crassostrea virginica, from the Gulf of Mexico and the Chesapeake Bay, USA",2002,USA,CV,
P_0192,Kannan_2005,Perfluorinated compounds in aquatic organisms at various trophic levels in a Great Lakes food chain,2005,USA,CV,
P_0540,Kannan_2005,"Chlorinated, brominated, and perfluorinated contaminants in livers of polar bears from Alaska",2005,USA,LR,
P_0197,Kannan_2006,Association between perfluorinated compounds and pathological conditions in southern sea otters,2006,USA,CV,
P_0531,Kannan_2008,"Chlorinated, brominated, and perfluorinated compounds, polycyclic aromatic hydrocarbons and trace elements in livers of sea otters from California, Washington, and Alaska (USA), and Kamchatka (Russia)",2008,USA,LR,
P_0008,Kannan_2010,"High concentrations of persistent organic pollutants including PCBs, DDT, PBDEs and PFOS in little brown bats with white-nose syndrome in New York, USA",2010,USA,CV,
P_0198,Kaupmees_2017,"Analysis and validation of perfluorinated compounds in water, sediment and fish with LC-ESI–MS/MS",2017,Estonia,CV,Excluded
P_0539,Keller_2005,Perfluorinated compounds in the plasma of loggerhead and Kemp's ridley sea turtles from the southeastern coast of the United States,2005,USA,LR,
P_0634,Keller_2012,Perfluoroalkyl contaminants in plasma of five sea turtle species: Comparisons in concentration and potential health risks,2012,USA,CV,
P_0009,Kelly_2009,Perfluoroalkyl Contaminants in an Arctic Marine Food Web: Trophic Magnification and Wildlife Exposure,2009,Canada,CV,
P_0199,Khairy_2019,"Uptake of hydrophobic organic compounds, including organochlorine pesticides, polybrominated diphenyl ethers, and perfluoroalkyl acids in fish and blue crabs of the lower Passaic River, New Jersey, USA",2019,USA,CV,
P_0200,Knudtzon_2021,"Maternal transfer and occurrence of siloxanes, chlorinated paraffins, metals, PFAS and legacy POPs in herring gulls (Larus argentatus) of different urban influence",2021,Norway,CV,
P_0201,Kobayashi_2018,"Bioaccumulation Patterns of Perfluoroalkyl Acids in an Estuary of the Ariake Sea, Japan",2018,Japan,CV,
P_0202,Koch_2019,Point source characterization of per- And polyfluoroalkyl substances (PFASs) and extractable organofluorine (EOF) in freshwater and aquatic invertebrates,2019,Sweden,CV,
P_0030,Koch_2020,Per- and Polyfluoroalkyl-Contaminated Freshwater Impacts Adjacent Riparian Food Webs,2020,Sweden,CV,
P_0203,Koch_2021,"Characterization of an AFFF impacted freshwater environment using total fluorine, extractable organofluorine and suspect per- and polyfluoroalkyl substance screening analysis",2021,Sweden,CV,
P_0370,Koch_2021,Quantification of Biodriven Transfer of Per- and Polyfluoroalkyl Substances from the Aquatic to the Terrestrial Environment via Emergent Insects,2021,Sweden,LR,
P_0204,Koponen_2015,"Perfluoroalkyl acids in various edible Baltic, freshwater, and farmed fish in Finland",2015,Finland,CV,
P_0552,Kosfeld_2021,Food web on ice: a pragmatic approach to investigate the trophic magnification of chemicals of concern,2021,Germany,LR,
P_0640,Kotthoff_2020,Per- and polyfluoroalkyl substances in the German environment - Levels and patterns in different matrices,2020,Germany,LR,
P_0206,Kovarova_2012,"Occurrence of perfluoroalkyl substances in fish and water from the svitava and Svratka Rivers, Czech Republic",2012,Czech Republic,CV,
P_0645,Kowalczyk_2018,Suitability of Wild Boar (Sus scrofa) as a Bioindicator for Environmental Pollution with Perfluorooctanoic Acid (PFOA) and Perfluorooctanesulfonic Acid (PFOS),2018,Germany,LR,
P_0207,Kowalczyk_2020,Perfluoroalkyl substances (PFAS) in beaked redfish (Sebastes mentella) and cod (Gadus morhua) from (Sebastes mentella) and cod (Gadus morhua) from arctic fishing grounds of Svalbard,2020,Germany,CV,
P_0511,Kratzer_2011,"Reprint of: Temporal trends of polyfluoroalkyl compounds (PFCs) in liver tissue of grey seals (Halichoerus grypus) from the Baltic Sea, 1974-2008",2011,Germany,CV,
P_0522,Kumar_2009,"Perfluorinated organic contaminants in sediment and aquatic wildlife, including sharks, from Georgia, USA",2009,USA,CV,
P_0598,Kumar_2022,Distribution of perfluoroalkyl acids in fish species from the Baltic Sea and freshwaters in Finland,2022,Finland,LR,
P_0208,Kurtz_2019,Perfluorinated Alkyl Acids in Hawaiian Cetaceans and Potential Biomarkers of Effect: Peroxisome Proliferator-Activated Receptor Alpha and Cytochrome P450 4A,2019,Hawaii,CV,
P_0487,Kwadijk_2014,Partitioning of perfluorooctanesulfonate and perfluorohexanesulfonate in the aquatic environment after an accidental release of aqueous film forming foam at Schiphol Amsterdam Airport,2014,Netherlands,LR,
P_0213,Labadie_2011,"Partitioning behaviour of perfluorinated alkyl contaminants between water, sediment and fish in the Orge River (nearby Paris, France)",2011,France,CV,
P_0215,Lam_2014,"Perfluorinated alkyl substances in water, sediment, plankton and fish from Korean rivers and lakes: A nationwide survey",2014,South Korea,CV,
P_0214,Lam_2016,Perfluoroalkyl Substances (PFASs) in Marine Mammals from the South China Sea and Their Temporal Changes 2002-2014: Concern for Alternatives of PFOS?,2016,China,CV,
P_0040,Lam_2017,"A nationwide survey of perfluorinated alkyl substances in waters, sediment and biota collected from aquatic environment in Vietnam: Distributions and bioconcentration profiles",2017,South Korea,CV,
P_0216,Langberg_2019,Bioaccumulation of Fluorotelomer Sulfonates and Perfluoroalkyl Acids in Marine Organisms Living in Aqueous Film-Forming Foam Impacted Waters,2019,Norway,CV,
P_0032,Langberg_2020,Fluorinated Precursor Compounds in Sediments as a Source of Perfluorinated Alkyl Acids (PFAA) to Biota,2020,Norway,CV,
P_0577,Lanza_2017,TEMPORAL MONITORING OF PERFLUOROOCTANE SULFONATE ACCUMULATION IN AQUATIC BIOTA DOWNSTREAM OF HISTORICAL AQUEOUS FILM FORMING FOAM USE AREAS,2017,USA,CV,
P_0217,Lashgari_2014,"Determination of perfluorinated carboxylic acids in fish fillet by micro-solid phase extraction, followed by liquid chromatography-triple quadrupole mass spectrometry",2014,Singapore,Excluded,Excluded
P_0218,Lasters_2019,"Variation in PFAA concentrations and egg parameters throughout the egg-laying sequence in a free-living songbird (the great tit, Parus major): Implications for biomonitoring studies",2019,Belgium,CV,
P_0042,Lasters_2021,Perfluoroalkyl acid (PFAA) profile and concentrations in two co-occurring tit species: distinct differences indicate non-generalizable results across passerines,2021,Belgium,CV,
P_0529,Law_2008,PFOS and PFOA in the livers of harbour porpoises (Phocoena phocoena) stranded or bycaught around the UK,2008,UK,CV,
P_0219,Leat_2013,"Perfluoroalkyl substances in eggs and plasma of an avian top predator, great skua (Stercorarius skua), in the north Atlantic",2013,UK,CV,
P_0221,Lee_2020,Concentration and distribution of per- and polyfluoroalkyl substances (PFAS) in the Asan Lake area of South Korea,2020,South Korea,CV,
P_0220,Lee_2020,"Legacy and emerging per- and polyfluoroalkyl substances (PFASs) in the coastal environment of Korea: Occurrence, spatial distribution, and bioaccumulation potential",2020,South Korea,CV,
P_0657,Leonel_2008,A baseline study of perfluorochemicals in Franciscana dolphin and Subantarctic fur seal from coastal waters of Southern Brazil,2008,Brazil,LR,
P_0010,Lesch_2017,First report of perfluoroalkyl substances in South African Odonata,2017,South Africa,CV,
P_0222,Lescord_2015,Perfluorinated and polyfluorinated compounds in lake food webs from the Canadian High Arctic,2015,Canada,CV,
P_0224,Letcher_2015,Perfluorinated sulfonate and carboxylate compounds and precursors in herring gull eggs from across the Laurentian Great Lakes of North America: Temporal and recent spatial comparisons and exposure implications,2015,Canada,CV,
P_0223,Letcher_2018,"Legacy and new halogenated persistent organic pollutants in polar bears from a contamination hotspot in the Arctic, Hudson Bay Canada",2018,Canada,CV,
P_0225,Levengood_2013,Spatial and interspecific patterns in persistent contaminant loads in bighead and silver carp from the Illinois River,2013,USA,CV,
P_0621,Levin_2016,Immunomodulatory effects of exposure to polychlorinated biphenyls and perfluoroalkyl acids in East Greenland ringed seals (Pusa hispida),2016,USA,CV,
P_0011,Li_2008,Perfluorooctane sulfonate (PFOS) and other fluorochemicals in fish blood collected near the outfall of wastewater treatment plant (WWTP) in Beijing,2008,China,CV,
P_0226,Li_2018,"Determination of Perfluorocarboxylic Acids and Perfluorosulfonic Acids in Aquatic Products by Quick, Easy, Cheap, Effective, Rugged, and Safe Sample Preparation with Liquid Chromatography-Tandem Mass Spectrometry",2018,,,Excluded
P_0488,Lin_2014,"Occurrence of perfluorinated compounds in the aquatic environment as found in science park effluent, river water, rainwater, sediments, and biotissues",2014,Taiwan,LR,
P_0360,Lin_2021,Source apportionment of perfluoroalkyl substances in Great Lakes fish,2021,China,LR,Excluded
P_0456,Liu_2017,"Chlorinated Polyfluoroalkyl Ether Sulfonic Acids in Marine Organisms from Bohai Sea, China: Occurrence, Temporal Variations, and Trophic Transfer Behavior",2017,China,CV,
P_0435,Liu_2018,"Nontarget Mass Spectrometry Reveals New Perfluoroalkyl Substances in Fish from the Yangtze River and Tangxun Lake, China",2018,Canada,LR,
P_0227,Liu_2018,"Residues, bioaccumulations and biomagnification of perfluoroalkyl acids (PFAAs) in aquatic animals from Lake Chaohu, China",2018,China,CV,
P_0411,Liu_2019,"High contamination, bioaccumulation and risk assessment of perfluoroalkyl substances in multiple environmental media at the Baiyangdian Lake",2019,China,CV,
P_0228,Llorca_2012,Fate of a broad spectrum of perfluorinated compounds in soils and biota from Tierra del Fuego and Antarctica,2012,Spain,CV,
P_0212,Loefstrand_2008,Spatial trends of polyfluorinated compounds in guillemot (Uria aalge) eggs from North-Western Europe,2008,Sweden,CV,
P_0209,Loeseth_2019,Plasma concentrations of organohalogenated contaminants in white-tailed eagle nestlings â€“ The role of age and diet,2019,Norway,CV,
P_0210,Loeseth_2019,"White-tailed eagle (Haliaeetus albicilla) feathers from Norway are suitable for monitoring of legacy, but not emerging contaminants",2019,Norway,CV,
P_0211,Loeseth_2019,The influence of natural variation and organohalogenated contaminants on physiological parameters in white-tailed eagle (Haliaeetus albicilla) nestlings from Norway,2019,Norway,CV,
P_0229,Loi_2011,Trophic magnification of poly- and perfluorinated compounds in a subtropical food web,2011,China,CV,
P_0666,Loi_2013,Detections of commercial fluorosurfactants in Hong Kong marine environment and human blood: A pilot study,2013,China,CV,
P_0230,Loos_2017,"Analysis of emerging organic contaminants in water, fish and suspended particulate matter (SPM) in the Joint Danube Survey using solid-phase extraction followed by UHPLC-MS-MS and GCâ€“MS analysis",2017,Italy,Excluded,Excluded
P_0231,Lopez-Antia_2017,High levels of PFOS in eggs of three bird species in the neighbourhood of a fluoro-chemical plant,2017,Belgium,CV,
P_0232,Lopez-Antia_2019,Perfluoroalkyl Acids (PFAAs) Concentrations and Oxidative Status in Two Generations of Great Tits Inhabiting a Contamination Hotspot,2019,Belgium,CV,
P_0048,Lopez-Antia_2021,Understanding PFAAs exposure in a generalist seabird species breeding in the vicinity of a fluorochemical plant: Influence of maternal transfer and diet,2021,Belgium,CV,
P_0053,Lopez-Berenguer_2020,Stranded cetaceans warn of high perfluoroalkyl substance pollution in the western Mediterranean Sea,2020,Spain,CV,
P_0469,Lorenzo_2016,Perfluoroalkyl substances in the Ebro and Guadalquivir river basins (Spain),2016,Spain,CV,
P_0233,Lorenzo_2019,"Occurrence, distribution and behavior of emerging persistent organic pollutants (POPs) in a Mediterranean wetland protected area",2019,Spain,CV,
P_0588,Lu_2011,Potential exposure of perfluorinated compounds to Chinese in Shenyang and Yangtze River Delta areas,2011,China,LR,
P_0235,Lucia_2015,Circumpolar contamination in eggs of the high-arctic ivory gull Pagophila eburnea,2015,Norway,CV,
P_0234,Lucia_2017,Contamination of ivory gulls (Pagophila eburnea) at four colonies in Svalbard in relation to their trophic behaviour,2017,Norway,CV,
P_0652,Luque_2010,Analysis of perfluorinated compounds in biota by microextraction with tetrahydrofuran and liquid chromatography/ion isolation-based ion-trap mass spectrometry,2010,Spain,LR,
P_0437,Lynch_2018,Feasibility of using the National Marine Mammal Tissue Bank for retrospective exploratory studies of perfluorinated alkyl acids,2018,USA,LR,
P_0406,Lynch_2019,"Temporal Trens in Per- an Polyfluoroalkyl Substances in Bottlenose Dolphins (Tursiops truncatus) of Inian River Lagoon, Floria an Charleston, South Carolina",2019,USA,CV,
P_0380,MacGillivray_2020,"Temporal Trends of Per‐ and Polyfluoroalkyl Substances in Delaware River Fish, USA",2020,USA,LR,
P_0546,Martin_2004,Perfluoroalkyl contaminants in a food web from Lake Ontario,2004,Canada,LR,
P_0547,Martin_2004,Identification of Long-Chain Perfluorinated Acids in Biota from the Canadian Arctic,2004,Canada,LR,
P_0237,Martin_2017,Multi-residue analysis of 36 priority and emerging pollutants in marine echinoderms (Holothuria tubulosa) and marine sediments by solid-liquid extraction followed by dispersive solid phase extraction and liquid chromatographyâ€“tandem mass spectrometry analysis,2017,Spain,CV,
P_0641,Martinez_Morcillo_2020,"Presence of pharmaceutical compounds, levels of biochemical biomarkers in seafood tissues and risk assessment for human health: Results from a case study in North-Western Spain",2020,Spain,,Excluded
P_0476,Maruya_2015,Which coastal and marine environmental contaminants are truly emerging?,2015,USA,CV,
P_0609,Mazzoni_2016,Liquid chromatography mass spectrometry determination of perfluoroalkyl acids in environmental solid extracts after phospholipid removal and on-line turbulent flow chromatography purification,2016,Italy,LR,
P_0424,Mazzoni_2019,Perfluoroalkyl acids in fish of Italian deep lakes: Environmental and human risk assessment,2019,Italy,LR,
