Study_ID,Author_year,Paper_title,Publication_year,Country_FirstAuthor,Checked,Comment
P_0078,Bertolero_2015,Accumulation and maternal transfer of perfluorooctane sulphonic acid in yellow-legged (Larus michahellis) and Audouin's gull (Larus audouinii) from the Ebro Delta Natural Park,2015,Spain,CV,
P_0491,Bhavsar_2014,Cooking fish is not effective in reducing exposure to perfluoroalkyl and polyfluoroalkyl substances,2014,Canada,LR,
P_0044,Bhavsar_2016,"High levels, partitioning and fish consumption based water guidelines of perfluoroalkyl acids downstream of a former firefighting training facility in Canada",2016,Canada,CV,Excluded
P_0604,Birgersson_2021,Thyroid function and immune status in perch (Perca fluviatilis) from lakes contaminated with PFASs or PCBs,2021,Sweden,LR,
P_0615,Blevin_2020,"Contaminants, prolactin and parental care in an Arctic seabird: Contrasted associations of perfluoroalkyl substances and organochlorine compounds with egg-turning behavior",2020,France,CV,
P_0373,Blazer_2021,Perfluoroalkyl substances in plasma of smallmouth bass from the chesapeake bay watershed,2021,USA,LR,
P_0079,Blevin_2017,Perfluorinated substances and telomeres in an Arctic seabird: Cross-sectional and longitudinal approaches,2017,France,CV,
P_0607,Blevin_2017,Contaminants and energy expenditure in an Arctic seabird: Organochlorine pesticides and perfluoroalkyl substances are associated with metabolic rate in a contrasted manner,2017,France,LR,
P_0080,Blevin_2018,"Organochlorines, perfluoroalkyl substances, mercury, and egg incubation temperature in an Arctic seabird: Insights from data loggers",2018,France,CV,
P_0622,Boisvert_2016,"Perfluoroalkyl Substances in Arctic Polar Bear and Ringed Seal From East Greenland and Hudson Bay: Comparisons of Adipose and Liver Levels and Patterns, and In Vitro Depletion and Metabolite Formation of PFAS Precursors",2016,Canada,CV,
P_0081,Boisvert_2019,Bioaccumulation and biomagnification of perfluoroalkyl acids and precursors in East Greenland polar bears and their ringed seal prey,2019,Canada,CV,
P_0084,Bossi_2005,"Preliminary screening of perfluorooctane sulfonate (PFOS) and other fluorochemicals in fish, birds and marine mammals from Greenland and the Faroe Islands",2005,Denmark,CV,
P_0082,Bossi_2005,Temporal and spatial trends of perfluorinated compounds in ringed seal (Phoca hispida) from Greenland,2005,Denmark,CV,
P_0085,Bossi_2012,Perfluoroalkyl compounds in Danish wastewater treatment plants and aquatic environments,2012,Denmark,CV,
P_0083,Bossi_2015,Perfluorinated alkyl substances (PFAS) in terrestrial environments in Greenland and Faroe Islands,2015,Denmark,CV,
P_0086,Bourgeon_2017,Potentiation of ecological factors on the disruption of thyroid hormones by organo-halogenated contaminants in female polar bears (Ursus maritimus) from the Barents Sea,2017,Norway,CV,
P_0087,Bouwman_2014,"Chlorinated, brominated, and fluorinated organic pollutants in Nile crocodile eggs from the Kruger National Park, South Africa",2014,South Africa,CV,
P_0088,Bouwman_2015,"Chlorinated, brominated and fluorinated organic pollutants in African Penguin eggs: 30 years since the previous assessment",2015,South Africa,CV,
P_0601,Brase_2022,Elevated levels of per- and polyfluoroalkyl substances (PFAS) in freshwater benthic macroinvertebrates from the Hudson River Watershed,2022,USA,LR,
P_0089,Bratberg_2013,Effects of oil pollution and persistent organic pollutants (POPs) on glycerophospholipids in liver and brain of male Atlantic cod (Gadus morhua),2013,Norway,CV,Excluded
P_0093,Braune_2010,Persistent halogenated organic contaminants and mercury in northern fulmars (Fulmarus glacialis) from the Canadian Arctic,2010,Canada,CV,
P_0092,Braune_2013,Perfluorinated sulfonate and carboxylate compounds in eggs of seabirds breeding in the Canadian Arctic: Temporal trends (1975-2011) and interspecies comparison,2013,Canada,CV,
P_0091,Braune_2014,"A geographical comparison of chlorinated, brominated and fluorinated compounds in seabirds breeding in the eastern Canadian Arctic",2014,Canada,CV,
P_0090,Braune_2014,Organohalogen contaminants and total mercury in forage fish preyed upon by thick-billed murres in northern Hudson Bay,2014,Canada,CV,
P_0410,Briels_2019,Integrated exposure assessment of northern goshawk (Accipiter gentilis) nestlings to legacy and emerging organic pollutants using non-destructive samples,2019,Norway,CV,
P_0002,Bustnes_2008,"Perfluorinated, brominated, and chlorinated contaminants in a population of lesser black-backed gulls (Larus fuscus)",2008,Norway,CV,
P_0095,Bustnes_2008,Perfluorinated and chlorinated pollutants as predictors of demographic parameters in an endangered seabird,2008,Norway,CV,
P_0096,Bustnes_2010,Salmon farms as a source of organohalogenated contaminants in wild fish,2010,Norway,CV,
P_0094,Bustnes_2013,Plasma concentrations of organohalogenated pollutants in predatory bird nestlings: Associations to growth rate and dietary tracers,2013,Norway,CV,
P_0097,Bustnes_2015,Perfluoroalkyl substance concentrations in a terrestrial raptor: Relationships to environmental conditions and individual traits,2015,Norway,CV,
P_0098,Butt_2007,Prevalence of long-chained perfluorinated carboxylates in seabirds from the Canadian arctic between 1975 and 2004,2007,Canada,CV,
P_0533,Butt_2007,Rapid response of arctic ringed seals to changes in perfluoroalkyl production,2007,Canada,LR,
P_0530,Butt_2008,Spatial trends of perfluoroalkyl compounds in ringed seals (Phoca hispida) from the Canadian arctic,2008,Canada,CV,
P_0583,Bytingsvik_2012,Perfluoroalkyl substances in polar bear mother-cub pairs: A comparative study based on plasma levels from 1998 and 2008,2012,Norway,CV,
P_0495,Bytinsvik_2013,Transthyretin-binding activity of contaminants in blood from polar bear (Ursus maritimus) cubs,2013,Norway,LR,
P_0099,Campo_2015,"Perfluoroalkyl substance contamination of the Llobregat River ecosystem (Mediterranean area, NE Spain)",2015,Spain,CV,
P_0466,Campo_2016,"Analysis of the presence of perfluoroalkyl substances in water, sediment and biota of the Jucar River (E Spain). Sources, partitioning and relationships with water physical characteristics",2016,Spain,CV,
P_0648,Carlsson_2014,"Polychlorinated biphenyls (PCBs), polybrominated diphenyl ethers (PBDEs) and perfluorinated alkylated substances (PFASs) in traditional seafood items from western Greenland",2014,Norway,LR,
P_0467,Carlsson_2016,Perfluoroalkylated substances (PFASs) and legacy persistent organic pollutants (POPs) in halibut and shrimp from coastal areas in the far north of Norway: Small survey of important dietary foodstuffs for coastal communities,2016,Norway,CV,
P_0100,Carravieri_2020,Interactions between Environmental Contaminants and Gastrointestinal Parasites: Novel Insights from an Integrative Approach in a Marine Predator,2020,UK,CV,
P_0414,Catherine_2019,Perfluoroalkyl substances (PFASs)in the marine environment: Spatial distribution and temporal profile shifts in shellfish from French coasts,2019,France,CV,
P_0101,Cerveny_2016,Perfluoroalkyl substances in aquatic environment-comparison of fish and passive sampling approaches,2016,Czech Republic,CV,
P_0102,Cerveny_2016,Young-of-the-year fish as a prospective bioindicator for aquatic environmental contamination monitoring,2016,Czech Republic,CV,
P_0574,Cerveny_2018,Fate of perfluoroalkyl substances within a small stream food web affected by sewage effluent,2018,Czech Republic,CV,
P_0103,Chen_2018,"Distribution, bioaccumulation and trophic transfer of chlorinated polyfluoroalkyl ether sulfonic acids in the marine food web of Bohai, China",2018,China,CV,
P_0363,Chen_2021,"Legacy and alternative per- and polyfluoroalkyl substances (PFASs) in the West River and North River, south China: Occurrence, fate, spatio-temporal variations and potential sources",2021,China,LR,Excluded
P_0385,Chen_2021,"Tissue distribution and bioaccumulation of legacy and emerging perand polyfluoroalkyl substances (PFASs) in edible fishes from Taihu Lake, China",2021,China,LR,
P_0349,Chiesa_2019,Risk characterisation from the presence of environmental contaminants and antibiotic residues in wild and farmed salmon from different FAO zones,2019,Italy,CV,
P_0104,Choi_2020,Origin and organ-specific bioaccumulation pattern of perfluorinated alkyl substances in crabs,2020,South Korea,CV,Excluded
P_0404,Choo_2020,"Legacy and emerging persistent organic pollutants in the freshwater system: Relative distribution, contamination trends, and bioaccumulation",2020,South Korea,CV,
P_0618,Chovancova _2018,"Profiles of Poly- and Perfluoroalkyl Substances (PFASs) in Surface Waters and Biota From Merrimack River Subwatersheds, New Hampshire",2018,USA,CV,
P_0105,Christie_2016,Perfluorinated alkyl acids in the plasma of South African crocodiles (Crocodylus niloticus),2016,USA,CV,
P_0107,Chu_2015,"Perfluoroalkyl sulfonates and carboxylic acids in liver, muscle and adipose tissues of black-footed albatross (Phoebastria nigripes) from Midway Island, North Pacific Ocean",2015,Canada,CV,
P_0106,Chu_2016,A New Fluorinated Surfactant Contaminant in Biota: Perfluorobutane Sulfonamide in Several Fish Species,2016,Canada,CV,
P_0108,Chynel_2021,"Legacy and emerging organic contaminants in two sympatric shark species from Reunion Island (Southwest Indian Ocean): Levels, profiles and maternal transfer",2021,France,CV,
P_0109,Cleary_2021,Emerging and Historical Contaminants Detected in Desert Rodents Collected Near a Low-Level Radioactive Waste Site,2021,USA,CV,
P_0110,Colli_Dula_2016,Molecular impacts of perfluorinated chemicals (PFASs) in the liver and testis of male largemouth bass (Micropterus salmoides) in Minnesota Lakes,2016,USA,CV,
P_0528,Corsolini_2008,"Polybrominated diphenyl ethers, perfluorinated compounds and chlorinated pesticides in swordfish (Xiphias gladius) from the Mediterranean Sea",2008,Italy,CV,
P_0111,Corsolini_2016,Legacy and emergent POPs in the marine fauna of NE Greenland with special emphasis on the Greenland shark Somniosus microcephalus,2016,Italy,CV,
P_0112,Costantini_2019,Higher plasma oxidative damage and lower plasma antioxidant defences in an Arctic seabird exposed to longer perfluoroalkyl acids,2019,France,CV,
P_0114,Couderc_2015,"Occurrence of POPs and other persistent organic contaminants in the European eel (Anguilla anguilla) from the Loire estuary, France",2015,France,CV,
P_0113,Couderc_2016,Thyroid endocrine status of wild European eels (Anguilla anguilla) in the Loire (France). Relationships with organic contaminant body burdens,2016,France,CV,
P_0427,Cui_2018,Elevated concentrations of perfluorohexanesulfonate and other per- and polyfluoroalkyl substances in Baiyangdian Lake (China): Source characterization and exposure assessment,2018,China,LR,
P_0441,Cui_2018,Occurrence and Tissue Distribution of Novel Perfluoroether Carboxylic and Sulfonic Acids and Legacy Per/Polyfluoroalkyl Substances in Black-Spotted Frog (Pelophylax nigromaculatus),2018,China,LR,
P_0541,Cunha_2005,"Baseline study of perfluorooctane sulfonate occurrence in mussels, Mytilus galloprovincialis, from north-central portuguese estuaries",2005,Portugal,LR,
P_0117,Custer_2009,"Perfluorinated compounds and polybrominated diphenyl ethers in great blue heron eggs from Indiana Dunes National Lakeshore, Indiana",2009,USA,CV,
P_0003,Custer_2010,"Perfluorinated Compounds and Polybrominated Diphenyl Ethers in Great Blue Heron Eggs from Three Colonies on the Mississippi River, Minnesota",2010,USA,CV,
P_0115,Custer_2012,"Exposure and effects of perfluoroalkyl compounds on tree swallows nesting at Lake Johanna in east central Minnesota, USA",2012,USA,CV,
P_0116,Custer_2013,"Perfluorinated compound concentrations in great blue heron eggs near st. paul, minnesota, usa, in 1993 and 2010-2011",2013,USA,CV,
P_0632,Custer_2014,"Exposure and Effects of Perfluoroalkyl Substances in Tree Swallows Nesting in Minnesota and Wisconsin, USA",2014,USA,CV,
P_0457,Custer_2017,Organic contamination in tree swallow (Tachycineta bicolor) nestlings at United States and binational Great Lakes Areas of Concern,2017,USA,CV,
P_0446,Custer_2017,"EROD activity, chromosomal damage, and oxidative stress in response to contaminants exposure in tree swallow (Tachycineta bicolor) nestlings from Great Lakes Areas of Concern",2017,USA,LR,
P_0643,Custer_2019,"Perfluoroalkyl Contaminant Exposure and Effects in Tree Swallows Nesting at Clarks Marsh, Oscoda, Michigan, USA",2019,USA,LR,
P_0393,Custer_2020,"Legacy and Contaminants of Emerging Concern in Tree Swallows Along an Agricultural to Industrial Gradient: Maumee River, Ohio",2020,USA,CV,
P_0455,Dassuncao_2017,Temporal Shifts in Poly- and Perfluoroalkyl Substances (PFASs) in North Atlantic Pilot Whales Indicate Large Contribution of Atmospheric Precursors,2017,USA,CV,
P_0570,Dassuncao_2019,Phospholipid Levels Predict the Tissue Distribution of Poly- and Perfluoroalkyl Substances in a Marine Mammal,2019,USA,CV,
P_0658,Dauwe_2007,PFOS levels in the blood and liver of a small insectivorous songbird near a fluorochemical plant,2007,Belgium,LR,
P_0057,De Silva_2016,"Perfluoroalkylphosphinic Acids in Northern Pike (Esox lucius), Double-Crested Cormorants (Phalacrocorax auritus), and Bottlenose Dolphins (Tursiops truncatus) in Relation to Other Perfluoroalkyl Acids",2016,Canada,CV,
P_0650,de_Solla_2012,"Highly elevated levels of perfluorooctane sulfonate and other perfluorinated acids found in biota and surface water downstream of an international airport, Hamilton, Ontario, Canada",2012,Canada,LR,
P_0026,de_Wit_2020,"Organohalogen compounds of emerging concern in Baltic Sea biota: Levels, biomagnification potential and comparisons with legacy contaminants",2020,Sweden,CV,
P_0119,Delinsky_2009,Determination of ten perfluorinated compounds in bluegill sunfish (Lepomis macrochirus) fillets,2009,USA,CV,
P_0517,Delinsky_2010,Geographical Distribution of Perfluorinated Compounds in Fish from Minnesota Lakes and Rivers,2010,USA,CV,
P_0118,DeSilva_2011,"Detection of a Cyclic Perfluorinated Acid, Perfluoroethylcyclohexane Sulfonate, in the Great Lakes of North America",2011,Canada,CV,
P_0059,deVries_2017,The toxic exposure of flamingos to per- and Polyfluoroalkyl substances (PFAS) from firefighting foam applications in Bonaire,2017,Netherlands,CV,
P_0656,Dietz_2008,Increasing perfluoroalkyl contaminants in East Greenland polar bears (Ursus maritimus): A new toxic threat to the arctic bears,2008,Denmark,LR,
P_0505,Dietz_2012,Spatial trends of perfluorochemicals in harbor seals (phoca vitulina) from danish waters,2012,Denmark,LR,
