Study_ID,Scientific_name,Lay_name,Species_higher_taxon,Name_tax_rank,Comment
P_0023,Ameiurus natalis,Yellow bullhead,Actinopterygii,species,
P_0023,Ameiurus nebulosus,Brown bullhead,Actinopterygii,species,
P_0023,Anguilla rostrata,American eel,Actinopterygii,species,used name: Anabas testudines
P_0023,Cyprinus carpio,Common carp,Actinopterygii,species,
P_0023,Esox niger,Chain pickerel,Actinopterygii,species,
P_0023,Ictalurus punctatus,Channel catfish,Actinopterygii,species,
P_0023,Lepomis gibbosus,Pumpkinseed,Actinopterygii,species,
P_0023,Lepomis macrochirus,Bluegill sunfish,Actinopterygii,species,
P_0023,Micropterus salmoides,Largemouth bass,Actinopterygii,species,
P_0023,Morone americana,White perch,Actinopterygii,species,
P_0023,Perca flavescens,Yellow perch,Actinopterygii,species,
P_0024,Anomalocardia brasiliana,Clam_2,Bivalvia,species,
P_0024,Aspistor luniscutis,Brazilian catfish,Actinopterygii,species,
P_0024,Callinectes sapidus,Blue crab,Malacostraca,species,
P_0024,Caranx,Trevally_genus,Actinopterygii,genus,
P_0024,Cathorops spixii,Madamango sea catfish,Actinopterygii,species,
P_0024,Centropomus parallelus,Fat snook,Actinopterygii,species,
P_0024,Centropomus undecimalis,Common snook,Actinopterygii,species,
P_0024,Crassostrea brasiliana,Mangrove oyster,Bivalvia,species,
P_0024,Crassostrea rhizophorae,Mangrove cupped oyster,Bivalvia,species,
P_0024,Ctenosciaena gracilicirrhus,Barbel drum,Actinopterygii,species,
P_0024,Diapterus,Mojarra_genua,Actinopterygii,genus,
P_0024,Eucinostomus,Silver jenny_genus,Actinopterygii,genus,
P_0024,Genyatremus luteus,Torroto grunt,Actinopterygii,species,
P_0024,Goniopsis cruentata,Mangrove tree crab,Malacostraca,species,
P_0024,Litopenaeus,Whiteleg shrimp_genus,Malacostraca,genus,
P_0024,Mugil,Mullet_genus_2,Actinopterygii,genus,
P_0024,Mytella guyanensis,Mangrove shellfish,Bivalvia,species,
P_0024,Polychaeta,Bristle worm_class,Polychaeta,class,
P_0024,Stellifer,Drum_genus,Actinopterygii,genus,
P_0024,Tagelus plebeius,Stout tagelus,Bivalvia,species,
P_0024,Ucides cordatus,Swamp ghost crab,Malacostraca,species,
P_0025,Myodes glareolus,Bank vole,Mammalia,species,
P_0026,Clupea harengus,Baltic herring,Actinopterygii,species,
P_0026,Haliaeetus albicilla,White-tailed sea eagle,Aves,species,
P_0026,Halichoerus grypus,Grey seal,Mammalia,species,
P_0026,Mytilus edulis,Blue mussel,Bivalvia,species,
P_0026,Phoca vitulina,Harbour seal,Mammalia,species,
P_0026,Phocoena phocoena,Harbour porpoise,Mammalia,species,
P_0026,Somateria mollissima,Common eider,Aves,species,
P_0026,Uria aalge,Common guillemot,Aves,species,
P_0026,Zoarces viviparus,Eelpout,Actinopterygii,species,
P_0028,Delphinapterus leucas,Beluga whale,Mammalia,species,
P_0029,Parus major,Great tit,Aves,species,
P_0030,Amphipoda,Amphipod_order,Malacostraca,order,
P_0030,Anisoptera,Dragonfly_infraorder,Insecta,infraorder,
P_0030,Araneae,Spider,Arachnida,order,
P_0030,Asellidae,Water louse_family,Malacostraca,family,
P_0030,Coleoptera,Beetle_order,Insecta,order,
P_0030,Decapoda,Crayfish_order,Malacostraca,order,
P_0030,Ephemeroptera,Mayfly_class,Insecta,class,
P_0030,Formicidae,Ant_family,Insecta,family,
P_0030,Julida,Millipede_order,Diplopoda,order,
P_0030,Megadrile,Earthworm_order,Clitellata,order,
P_0030,Nematocera,Thread-horn fly_suborder,Insecta,suborder,
P_0030,Nematoda,Roundworm_phylum,Nematoda,phylum,
P_0030,Notonectidae,Backswimmer_family,Insecta,family,
P_0030,Planorbidae,Freshwater snail_family_3,Gastropoda,family,
P_0030,Scarabaeoidea,Dung beetle_superfamily,Insecta,superfamily,
P_0030,Sialidae,Alderfly_family,Insecta,family,
P_0030,Trichoptera,Caddisfly_order,Insecta,order,
P_0030,Zygoptera,Damselfly_suborder,Insecta,suborder,
P_0031,Larus hyperboreus,Glaucous gull,Aves,species,
P_0032,Abramis brama,Common bream,Actinopterygii,species,
P_0032,Astacus astacus,Crayfish_1,Malacostraca,species,
P_0032,Coregonus lavaretus,European whitefish,Actinopterygii,species,
P_0032,Esox lucius,Northern pike,Actinopterygii,species,
P_0032,Perca fluviatilis,European perch,Actinopterygii,species,
P_0032,Rutilus rutilus,Common roach,Actinopterygii,species,
P_0032,Salmo trutta,Brown trout,Actinopterygii,species,
